Gewerbeanzeigen: Bundesländer, Jahre;
Gewerbeanzeigenstatistik;
Bundesländer;Gewerbeanmeldungen
;Anzahl
2011;
Baden-Württemberg;103630
Bayern;143823
Berlin;48716
Brandenburg;20521
Bremen;6296
Hamburg;24495
Hessen;77943
Mecklenburg-Vorpommern;13081
Niedersachsen;69670
Nordrhein-Westfalen;169362
Rheinland-Pfalz;39198
Saarland;7798
Sachsen;36331
Sachsen-Anhalt;14677
Schleswig-Holstein;29971
Thüringen;15695
2012;
Baden-Württemberg;96089
Bayern;131857
Berlin;48072
Brandenburg;18260
Bremen;6101
Hamburg;22618
Hessen;72378
Mecklenburg-Vorpommern;11330
Niedersachsen;63021
Nordrhein-Westfalen;156407
Rheinland-Pfalz;36467
Saarland;7264
Sachsen;32364
Sachsen-Anhalt;13378
Schleswig-Holstein;27728
Thüringen;14037
2013;
Baden-Württemberg;96905
Bayern;129998
Berlin;46212
Brandenburg;18330
Bremen;6208
Hamburg;22743
Hessen;71629
Mecklenburg-Vorpommern;11570
Niedersachsen;63526
Nordrhein-Westfalen;158994
Rheinland-Pfalz;36206
Saarland;7267
Sachsen;30995
Sachsen-Anhalt;12688
Schleswig-Holstein;27739
Thüringen;14038
2014;
Baden-Württemberg;92014
Bayern;125730
Berlin;44924
Brandenburg;18015
Bremen;5740
Hamburg;20264
Hessen;63569
Mecklenburg-Vorpommern;10833
Niedersachsen;61661
Nordrhein-Westfalen;154497
Rheinland-Pfalz;35153
Saarland;7107
Sachsen;30073
Sachsen-Anhalt;12513
Schleswig-Holstein;27426
Thüringen;12766
2015;
Baden-Württemberg;90907
Bayern;122119
Berlin;42124
Brandenburg;17282
Bremen;5311
Hamburg;20162
Hessen;63583
Mecklenburg-Vorpommern;10483
Niedersachsen;59793
Nordrhein-Westfalen;152589
Rheinland-Pfalz;34985
Saarland;6925
Sachsen;29652
Sachsen-Anhalt;12031
Schleswig-Holstein;26383
Thüringen;12547
2016;
Baden-Württemberg;88461
Bayern;115825
Berlin;42443
Brandenburg;17080
Bremen;4194
Hamburg;19798
Hessen;61890
Mecklenburg-Vorpommern;10152
Niedersachsen;57247
Nordrhein-Westfalen;150862
Rheinland-Pfalz;33124
Saarland;6721
Sachsen;28177
Sachsen-Anhalt;11562
Schleswig-Holstein;25683
Thüringen;12154
2017;
Baden-Württemberg;86322
Bayern;115187
Berlin;44839
Brandenburg;17049
Bremen;4318
Hamburg;20105
Hessen;60253
Mecklenburg-Vorpommern;9700
Niedersachsen;57968
Nordrhein-Westfalen;147911
Rheinland-Pfalz;31658
Saarland;6531
Sachsen;27095
Sachsen-Anhalt;11268
Schleswig-Holstein;25561
Thüringen;11212
2018;
Baden-Württemberg;86040
Bayern;114263
Berlin;43923
Brandenburg;17251
Bremen;6816
Hamburg;19879
Hessen;58880
Mecklenburg-Vorpommern;9540
Niedersachsen;57609
Nordrhein-Westfalen;142390
Rheinland-Pfalz;31966
Saarland;6733
Sachsen;26741
Sachsen-Anhalt;10759
Schleswig-Holstein;24752
Thüringen;11182
2019;
Baden-Württemberg;86785
Bayern;113606
Berlin;41756
Brandenburg;17446
Bremen;5740
Hamburg;20454
Hessen;60179
Mecklenburg-Vorpommern;9747
Niedersachsen;59600
Nordrhein-Westfalen;144036
Rheinland-Pfalz;31373
Saarland;6931
Sachsen;26736
Sachsen-Anhalt;10924
Schleswig-Holstein;26015
Thüringen;11281
